a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source	
2962	-0.546	Sanığın sabıkasız olması, sanığa yükletilen suçlardan dolayı mağdurun somut maddi zararının bulunmadığını açıklayan daire, manevi zararın ise hükmün açıklanmasının geri bırakılmasına uygulanmasına engel teşkil etmemesi ve mağdurun şikayetinden vazgeçmiş olması karşısında uygulanıp uygulanmayacağının tartışılmadığını belirtti.	It was recorded that the defendant had no prior criminal record, that no concrete damage was caused to the victim because of the alleged crimes, that the victim withdrew his complaint, while it was not discussed whether or not the spiritual loss prevented the judgment.	Explaining that the defendant had no criminal record and that the victim had no tangible material damage due to the crimes committed to the defendant, the flat said that the moral damage did not prevent the application of the postponement of the provision and that the victim had given up his complaint against him, it was not discussed whether or not to be	0			
2497	-0.544	UCLA, antrenmanlarını kamp bittiğinde durduracak; yandaki otopark ve bitişiğindeki futbol topu yağmuruna tutulan ve kale arkasını koruyucu bir ağ ile kapatan lüks otel Luskin Center'ın, sahalarının görüş hattında uzandığı düşünüldüğünde hiç kolay iş değil.	UCLA will close its practices once camp is finished, no easy task given the clear sight lines of its fields from an adjacent parking lot and the adjoining Luskin Center, an upscale hotel that has already been pelted with footballs that cleared a protective net behind a goalpost.	UCLA will stop their training when the camp is over; it is not an easy job considering that the luxury hotel Luskin Center, which is kept in the rain of the next car park and the football ball next to it and closes the back of the castle with a protective network, lies on the line of view of their fields.	0			
2636	-0.536	Ne var ki bu seks robotları sadece bir fetiş ya da seks oyuncakları değil.	However, these sex robots are not a mere fetish or just another sex toy.	But these sex robots aren't just fetish or sex toys.	0			
1974	-0.536	Bacaklardan tutulup, suyu boşaltması için sarkıtılmamalı.	The patient should not be suspended by the legs to drain the water.	It shouldn't be held in the legs and stalked to empty the water.	0			
1215	-0.536	15 Temmuz FETÖ darbe girişimi yüzünden yatırımlarda azalma olmadığını, tam tersine artış olduğunu aktaran Ermut, "Belki daha fazla artış olacaktı, ket vurdu."	Relaying that there had been no decrease in investment following the July 15 FETÖ coup attempt and that, on the contrary, there had been an increase, Ermut said "Perhaps, it would have been more, but it was inhibited."	On the contrary, there is no decrease in investments due to the 15 July fateful coup attempt, Ermut said, "maybe there will be more increases, ket shot."	0			
327	-0.531	Degei, yakındaki bataklıktan gelen bulanık suyla çamaşır yıkama gibi angarya işleri yaptığı çamurlu zeminde oturuyor, hiç mobilyası yok.	Degei sits on the mud floor - she has no furniture - which is where she also performs her daily chores, such as washing clothes with murky water from the nearby swamp.	Degei is sitting on muddy ground where he does Laundry with turbid water coming from the nearby Swamp, and has no furniture.	0			
1327	-0.529	Trafikten kâr beklentimiz yok ama geçmiş 11 yıla bakınca da hiçbir yıl kâr ettiğimizi gösteremiyoruz.	We have no expectation of profit from our vehicular arm but, when we look at the past eleven years, we could not point to one year in which we made profit.	We have no expectation of profit from traffic, but when we look at the past 11 years, we can not show that no year profit.	0			
107	-0.525	Miller, Acosta'ya çıkışırken: "Ben burada baştan sona tarih konuşmak istemiyorum, fakat Özgürlük Heykeli... Amerikan özgürlüğünün dünyaya ışık saçma sembolüdür.	As Miller scolded Acosta: "I don't want to get off into a whole thing about history here, but the Statue of Liberty is ... a symbol of American liberty lighting the world.	When Miller went out to Acosta, he said, "I don't want to talk about history here, but Statue of Liberty... American freedom is the absurd symbol of light to the world.	0			
497	-0.52	Çin Dışişleri Bakanı Vang Yi, başkent Pekin'de düzenlediği basın toplantısında, Tillerson'un Pyongyang yönetimine atfen "Rejim değişikliği, rejimin çökmesi, yarımadanın hızla yeniden birleşmeye gitmesi ve askerlerimizi 38. paralelin kuzeyine göndermek için bahane arayışında değiliz". ifadelerini önemsediklerini dile getirdi.	In the press conference in their capital city Beijing, the Chinese Foreign Minister Vang Yi said that they were paying attention to Mr Tillerson’s statement on Pyongyang, and commented "We are not searching for any excuse for regime change, the fall of the regime, a faster re-unification of the peninsular or for sending our soldiers to the north of the thirty-eighth parallel".	China's Foreign Minister, Vang Yi, at a press conference in Beijing, cited Tillerson's Pyongyang Administration as "regime change, regime collapse, the peninsula to quickly reunify and our troops to 38. we're not looking for an excuse to send it north of the paralel." he said they care about their statements.	0			
323	-0.506	Bardina Degei yemek pişirirken ocak kullanmıyor.	When Bardina Degei cooks dinner, she doesn't use a stove.	He doesn't use a stove when He's cooking.	0			
1726	-0.5	Konsey hareketlerinden utanmalı çünkü bunlar problemi çözmekte faydasız.	The council needs to be shamed into action as they are useless at dealing with the problem.	The Council should be ashamed of their actions because they are useless in solving the problem.	0			
843	-0.495	Anne Gülizar Ekinci ise "Binanın içine giren-çıkan yok."	However his mother, Gulizar Ekinci, said "There was no one entering or leaving the building".	Anne Gülizar ekinci said, "there is no one in or out of the building."	0			
1242	-0.487	"Fakat biz bu noktada üzerimize düşeni yapıp, yatırımcılarımızın da, yatırım ortamı algısının da etkilenmemesi hedefiyle elimizden geleni yapacağız". değerlendirmesinde bulundu.	"But, at this point, we will do the our part, try our best for our investors, and the perception of our investment environment will not be affected" he said, evaluating the situation.	"But we will do our best to do our part at this point and not to be affected by the perception of investment environment." he was in his evaluation.	0			
1918	-0.476	Yani bu tavan fiyat uygulamalarını ben doğru bulmuyorum, mecbur bıraktılar bizi.	That is to say, I do not find the price cap implementations correct: they were forced on us.	So I do not find the applications of this ceiling price, forced us.	0			
2568	-0.475	Açıklamasında, MHP'yi hedef aldığını ileri sürdüğü kişiler için "siyaset kalpazanları", "siyasi kapkaççılar" diyen Büyükataman, "Milliyetçi hareket sahipsiz değildir."	In his statement labeling as "political forgers", "political snatchers" those he alleges target the MHP, Buyukataman added that "Nationalist movement is not abandoned on its own."	In its statement, the nationalist movement is not an owner of "political counterfeiters" and "political skippers" for the people he claims to have targeted the MHP."	1			
1509	-0.475	Şeytandan yaradana sığınki sefsin seni değil; sen nefsini yakasın	Seek refuge from Satan in your Creator, so that you kill your ego, and not that your ego kills you	Seek refuge in God from Satan the chief, you're not; you catch you soul	1			
1307	-0.475	Konuya vakıf olanların salı günü söylediklerine göre UEFA, Neymar'ın transferiyle ilgili PSG'yle önleyici bir görüşme içerisinde değil.	UEFA has not been in pre-emptive discussions with PSG about Neymar's transfer, people familiar with the situation said Thursday.	UEFA is not in a preventive interview with the PSG about the transfer of Neymar, the foundation said on Tuesday.	0			
2273	-0.461	Folayan'ın yakınlarda verdiği bir röportajda açıkladığı gibi: "Ferguson'da doğup büyüyen insanların seslerinin yoğunlaşamadığını duymuştuk ve biz farklı bir şekilde yapmaya karar verdik."	As Folayan explained in a recent interview, "We had heard that people who are born and raised in Ferguson were not having their voices centered, and we wanted to do it differently."	"We heard people born and raised in Ferguson, and we decided to do it differently," folayan explained in an interview recently."	1			
975	-0.461	Aslı Hatemi de Sponza'nın şikayetiyle ilgili "Böyle bir şikayet var ama içeriği doğru değil."	Aslı Hatemi commented on Sponza’s complaint saying "There is such a complaint, but its content is not accurate."	Aslı Hatemi de Sponza's complaint about "there is such a complaint, but the content is not correct."	0			
1591	-0.454	İddialara göre genç kızın babası, haber alamadığı ve cep telefonundan da ulaşamadığı kızının okula yakın noktadaki evine gitti.	According to allegations, upon not receiving any news of her and unable to get hold of her on her mobile phone, the young girl’s father went over to her house near a school.	Allegedly, the father of the young girl went to her daughter's house near the school, where she couldn't hear or reach her cell phone.	1			
1283	-0.43	Avrupa futbol kulüplerinin sınırsız harcamalarının önlenmesine yönelik kurallar Neymar’ın, İspanya’nın Barselona’sından Fransa’nın Paris-Saint Germain’ine dünya rekoru transferini engellemeyecek.	Rules aimed at preventing unfettered spending by European soccer clubs will not disrupt Neymar's world-record transfer from Spain's Barcelona to France's Paris-Saint Germain.	European football clubs ' unlimited spending to prevent the rules Neymar'in, Spain's Barcelona France Paris-Saint Germaine world record transfer will not prevent.	1			
1778	-0.43	İtalya, Akdeniz'de göçmen kurtarma botu işleten STK'ları, eğer operasyonlarını etkileyen yeni kurallara uymazlarsa devam etmelerine izin verilmeyeceği konusunda uyardı.	Italy has warned NGOs operating migrant rescue boats in the Mediterranean they will not be allowed to continue if they do not sign up to new rules governing their operations.	Italy has warned NGOs operating migrant rescue boats in the Mediterranean that they will not be allowed to continue if they fail to comply with the new rules that affect their operations.	0			
90	-0.415	Haşdi Şabi'ye karşı olduğumuzu söylemiyoruz.	We are not saying that we are against Hashd Al-Shaabi.	We're not saying We're against the shabby shabby.	0			
476	-0.415	Böylelikle kronik hastalığı bulunan ve tedavi süreçlerini evlerinde devam ettiren yoksul vatandaşlar ile ailelerinin hem maddi hem de manevi olarak yalnız bırakılmaması hedefleniyor.	In this way, the programme’s aim is to not leave any poor, chronically ill individuals and their families alone without any material or moral support.	Thus, it is aimed not to leave the poor citizens and their families both financially and spiritually with chronic disease and continue their treatment processes at home.	0			
1359	-0.412	Başbakanlık Türkiye Yatırım Destek ve Tanıtım Ajansı Başkanı Arda Ermut, Türkiye'deki Alman firmalarının Türk firması gibi görüldüğünü iki ülke arasındaki siyasi gerilimin iş dünyasına yansımadığını belirtti.	The Chairman of the Prime Minister’s Turkey Investment Support and Promotion Agency, Arda Ermut, commented that German companies in Turkey were considered to be the same as a Turkish company, and that political tensions between the two countries was not reflected in the business world.	Prime Minister of Turkey investment support and Promotion Agency Chairman Arda Ermut, the German companies in Turkey are considered as Turkish companies, the political tension between the two countries is not reflected in the business world, he said.	0			
2944	-0.4	Al-Khelaifi, "Ben endişeli değilim çünkü biliyorlar ki eğer bizim oyuncularımızdan birine dokunurlarsa, biz de o zaman onlara karşı oluruz, onların oyuncularıyla temasa geçeriz." dedi.	"I am not worried because they know that if they touch one of our players, then we will be in opposition to them, we'll contact their players," Al-Khelaifi said.	"I'm not worried because they know that if they touch one of our players, then we'll be against them, and we'll get in touch with their players." quoth.	0			
1758	-0.391	Sağlam kayanın 25-30 metre altta olduğu kazıkların bu kadar derine kazılmadığı belirtiliyor.	The base rock is 25–30 meters below the surface, and the piles have not been dug to that depth.	It is stated that the solid rock is 25 to 30 meters below the stakes so deep that it is not excavated.	1			
647	-0.359	Bir başka deyişle geçmişte demokrasimizin topallamasına sebep olan anlamsız kamplaşmaları ve kan davalarını bugüne taşımaktan kimseye hayır gelmeyecektir.	In other words, it will do no good for anyone to carry on with those meaningless polarizations and vendettas of the past that caused our democracy to stumble.	In other words, no one will be able to carry the meaningless campuses and blood feuds that have caused our democracy to limp in the past.	1			
378	-0.355	Sinirler daha da gerilirken dahili radyo vasıtasıyla askerlere emir gönderildi: "Eğer kalabalık üç kereden fazla direnç gösterirse onları vurarak öldürün." TIME tarafından görülen, yerel medyaya açıklanmayan resmi bir evrak böyle diyordu.	As tempers grew more heated, an order was sent to the soldiers through internal radio: "If the masses offer resistance more than three times, shoot them dead," it said, according to an official document seen by TIME that has not been released to the local media.	When the nerves got worse, internal Radio sent orders to the soldiers: "if the crowd shows more resistance than three times, shoot them and kill them."That's what time saw an official document that wasn't disclosed to the local media.	0			
633	-0.353	Ya da Gonçarov'un "Oblomov"u, gerçekleri görmezden geldiği zaman her şeyin eskisi gibi sürebileceğini sanan bir tembel mirasyedidir.	Or Goncharov’s ‘Oblomov’ who is a lazy spender who thinks that everything will continue just it was while choosing not to see reality.	Or Gonçarov's "Oblomov"is a lazy legacy that thinks that when he ignores the facts, everything can go back to the way it used to be.	0			
2717	-0.353	Beraber geldiği arkadaşları, tüm aramalara rağmen Hoffman'a ulaşamayınca durumu Hollanda'daki ailesine haber verdi.	Despite their efforts, they have been unable to find Hoffman. His friends have informed his family in the Netherlands.	His friends, despite all the calls, were unable to reach Hoffman, he informed his family in the Netherlands.	0			
1820	-0.353	"Milletvekilimiz Sayın Enis Berberoğlu milletvekilliği görevini yaparken hiçbir özel statü talep etmemiş, milletvekilliğinin tanıdığı dokunulmazlık zırhına sığınmamış, yargının bağımsız ve tarafsızlığına olan inancını korumak istemiştir" denildi.	It was noted that "Our MP Mr Enis Berberoglu has not requested any special status while holding his parliamentary post, has not sought refuge under the immunity that his status as an MP provided, and has wanted to preserve his belief in the independence and impartiality of the judiciary".	"Our Deputies, Mr. Enis Berberoglu, did not demand any special status while serving as a deputy, did not seek immunity from the Law of deputies, and wanted to maintain their faith in the independence and impartiality of the judiciary."	0			
1346	-0.353	Dolayısıyla buradan vazgeçmiş değiller.	Because of this, they have not given up.	So they haven't given up.	0			
1465	-0.351	"İzlenmeyen ya da Çekilip çekilmediği belli olmayan yapımlara milyonlar ödeniyor" dedi.	"Millions are paid to productions and there is no information at all if they are watched or even produced" he said.	"Millions are paid for productions that have not been watched or withdrawn, "he said.	1			
2530	-0.345	National Trust tam erişime ancak son mirasçı Elizabeth Hussey 2006'da öldüğünde ulaşabildiği için Scotney'in detaylı tarihi görece bir bilinmez.	The intimate history of Scotney is relatively unknown, as the National Trust had only gained full access in 2006 when the final heir, Elizabeth Hussey, died.	The detailed history of Scotney is relatively unknown because National Trust is only accessible when the last heir Elizabeth Hussein died in 2006.	0			
821	-0.344	Yapılan detaylı incelemede, çocuğun vücudunda herhangi bir darp ve cebir izine rastlanılmadı.	The detailed investigation found no signs on the child’s body of any blows or physical coercion.	In the detailed examination, no traces of any kind of trauma and algebra were found in the child's body.	0			
2687	-0.338	Munzur Plajında serinleyenler arasında yer alan Suna Tosun, tatil için batı illeri yerine tercihini Tunceli'den yana kullandığını belirterek, "Ben batıda tatilimi geçirmek istemedim ailece Munzur'da serinlemek, kendi topraklarımızda kalmak daha doğruydu."	Among the people who are trying to cool themselves off in the Munzur Beach, Suna Tosun said that they chose Tunceli rather than the western coastline. "I didn’t want to spend my holiday in the west, as it was better for our family to cool off in our local Munzur."	Suna tosun, which is among the coolers in Munzur beach, prefers to use Tunceli instead of western provinces for the holiday, "I did not want to spend my holiday in the west, the family in munzur'da cooler, stay on their own territory was more accurate."	0			
1017	-0.323	Sigorta poliçeleri sanıldığı kadar pahalı değil, sigortacılık sadece hasar ödeyen bir sektör de değil; aynı zamanda risk yönetimi danışmanlığı yapıyor.	Insurance policies are not as expensive as they are thought to be, and the insurance business is not a sector that only pays for damage. It also, at the same time, performs a risk management consultancy service.	Insurance policies are not as expensive as they think, insurance is not only a sector paying damage, but also a risk management consultant.	0			
2676	-0.311	Otuz beş yıl oldu ve ben hala Swiss Cottage'ın aslında bir İsviçre kır evi değil de (temalı bar Ye Olde Swiss Cottage sayılmaz) Kuzey Londra'da geniş bir döner kavşak olduğunu keşfettiğim günün üstesinden tamamen gelemedim.	Thirty-five years later and I'm still not entirely over the day I discovered Swiss Cottage is not, in fact, a Swiss cottage - the theme pub, Ye Olde Swiss Cottage, doesn't count - but a large roundabout in north London.	It's been thirty-five years and I still haven't been able to overcome the day that I discovered that Swiss Cottage is not actually a Swiss country house (the themed bar doesn't count as the Old Swiss Cottage), but a huge turnaround in North London.	0			
1198	-0.304	Coe, "Çok yapıcı bir gün olduğunu düşünüyorum ve yol alındığını düşünüyorum fakat Kongre, görev gücünün, Rusya'nın haklarının iade edilmesi için doğru zaman olmadığı önerisini desteklemektedir." dedi.	"I think it was a very constructive day and I think progress is being made, but the Congress supports the recommendations of the task force that this was not the moment to reinstate Russia," said Coe.	"I think it is a very constructive day and I think it is being taken off, but the congress supports the suggestion that the Task Force is not the right time to return Russia's rights." quoth.	0			
2413	-0.298	Galatasaray Başkanı boşuna gitmez, eli boş da dönmez.	Galatasaray’s President will not go for nothing and will not return empty handed.	The President of Galatasaray does not go in vain and does not return empty-handed.	0			
2781	-0.294	Steril bir ortamda bakıldıkları için bir bağırsak mikrobiyomu eksik olan ve bu tür bir bağışıklık hücresi geliştirmeyen farelere L. reuteri verildi ve bağışıklık hücreleri ortaya çıktı.	Mice reared in a sterile environment so they lacked a gut microbiome and do not develop this kind of immune cell were given L. reuteri and the immune cells arose.	The immune system is a group of organs that fight infection and disease. reuteri was given and the immune cells appeared.	1			
1343	-0.294	Bu gelişmelerin ardından yabancıların Türk sigorta sektöründe ağırlık azaltma noktasına gelip gelmediklerine yönelik bir soru üzerine Çağlar, "Henüz o noktaya gelmiş değiller."	On the question of whether foreigners would reduce their proportional weight in the Turkish insurance sector, Çağlar said "They are not there, yet."	Following these developments, the ages have not reached the point of weight reduction in the Turkish insurance sector, "they have not yet reached that point."	0			
1757	-0.294	CHP'li Meclis Üyesi Nadir Ataman, sahilde yükselen dev yapılarla ilgili deprem uyarısında bulunarak şunları kaydetti: "Davadaki bilirkişi raporu net olarak bu yapıların 6 şiddetinde depreme dayanmayacağını söylüyor."	Issuing an earthquake warning against the huge buildings rising along the seaside, the CHP Councilor, Nadir Ataman, said "The expert report in the court case specifically underlines that these buildings would not survive a 6-level earthquake."	CHP member of Parliament Nadir ataman, rising on the beach giant buildings earthquake warning, said: "the report of experts in the case clearly said these structures will not withstand earthquakes in the severity of 6."	0			
982	-0.293	Gazetecilerin ısrarla "Hiç mi duymadınız?" diye sorması üzerine önce "Hayır" diyen Şener, sözlerine şöyle devam etti: "Duymadım değil, tabii ki ilk seferinde duydum."	Journalists insistence "Had you not heard at all?" first replying "No", Şener continued: "It is not that I didn’t hear, of course I heard it at the beginning."	Journalists insist on " never heard of it? şener, who said " No "before he asked, said:" I did not hear it, of course I heard it the first time."	1			
2787	-0.29	L. reuteri'den gelen triptofan yan ürünlerinin insanlarda da farelerde olduğu gibi gelişip gelişmediği bilinmiyor fakat triptofanla ilgili olan genlerdeki bozukluklar iltihabi bağırsak hastalığı olan insanlarda bulunmuş durumda.	It is not known whether tryptophan byproducts from L. reuteri induce the cells to develop in people as they do in mice, but defects in genes related to tryptophan have been found in people with inflammatory bowel disease.	L. L. tryptophan side products from Reuters are not known to develop as in humans, but disorders associated with tryptophan have been found in people with inflammatory bowel disease.	1			
2035	-0.276	Bana, 'Bu kadar çok ölüm karşısında ne yapıyordun... Neden ne olup bittiğini söylemedin?' diye sorulmasını istemiyorum."	I don't want to be asked, 'What were you doing in the face of so much death ... why didn't you say what was going on?'"	He said to me, " what were you doing in the face of so many deaths?.. Why didn't you tell me what was going on?'I don't want to be prompted."	1			
1695	-0.276	Fakat hiç kimse Trump'ın sürekli olarak tartışma yaratmasını engelleyemedi.	But no one has been able to consistently prevent Trump from stirring up controversy.	But no one could prevent Trump from constantly stirring up controversy.	0			
2648	-0.276	Hiçbir faaliyetleri ya da geçmiş hikayeleri yok, bağımsızlıklarını ortaya koyacak ya da total kölelik fantezisini bozacak hiçbir şey yok.	They have no agency or back-story, nothing to suggest independence or anything that may disrupt the fantasy of total servitude.	They have no activity or past stories, nothing to expose their independence or disrupt the fantasy of total slavery.	0			
1845	-0.276	O ailesiyle tatildeyken, kız onun ölümünden iki hafta önce gönderdiği birçok mesajında şöyle demişti: "Kendini as, bir binadan atla, kendini bıçakla, bilmiyorum bir sürü yol var."	"Hang yourself, jump off a building, stab yourself I don't know there's a lot of ways," she said in several messages sent in the two weeks before his death while he was on holiday with his family.	When she was on vacation with her family, she sent several messages two weeks before her death: "hang yourself, jump out of a building, stab yourself, I don't know, there are a lot of ways."	0			
2278	-0.276	Folayan, "Amaç Ferrell'in deneyimlerine odaklanmak olmasa da, hareketin "mesih bir lider hakkında olmadığı, toplumun bir araya gelmesi hakkında olduğunu" gösterirken o, film katılımcılarının en açığı olduğunu kanıtladı, şeklinde konuştu.	While the goal wasn't to focus on Ferrell's experience - in an effort to show that the movement is "not about a messiah leader but a community coming together," Folayan said - she proved to be the most open of the film's participants.	"While the goal is not to focus on ferrrell's experiences, it shows that the movement is "not about a Messiah leader, but about society to come together," he said, proving that film participants are the most vulnerable.	0			
1614	-0.274	Bu sadece basit bir platform inşa etmek değildi, aynı zamanda çelikler öyle bir eğilecekti ki üst veya alttaki fonksiyona göre doğru yükseklikte olacaklardı."	It wasn't just building a simple platform, but cranking the steels so that they were at the right height for the function above or below."	This was not only to build a simple platform, but also steel would be so inclined that they would be at the right height according to the top or bottom function."	0			
1030	-0.272	Dünyada ne kadar bölgesel krizler olursa olsun Türkiye bölgenin ve dünyanın en güvenilir yatırım yapılabilir ülkelerin başında geldiğini bu ihale ile ortaya koymaktan dolayı büyük bir gurur duydum.	No matter how many regional crisis occur in the world, this tender makes me feel proud that Turkey is showing that it is the most trustworthy and most investable country in the region and in the world.	No matter how many regional crises in the world, Turkey is one of the most reliable investment countries in the region and the world has come to be a very proud of putting forward this tender.	0			
723	-0.27	"Yaraların sarılmasına ve uzlaşmaya adaleti elde edene kadar sahip olamayız."	"We can't get to healing and reconciliation until we get justice."	"We cannot have it until we have the justice to heal wounds and compromise."	1			
2961	-0.259	Yerel mahkeme tarafından gerekçelerin belirtilmesine rağmen eylemin mağdurun sela ve ezan okuma görevini bitirip cami önünde halkı bilgilendirdiği sırada gerçekleştiğini belirten daire, somut olayda, mağdurun icrasına başladığı veya devam ettiği bir görevin bulunmadığını, bu fiilin yerine getirdiği kamu görevi nedeniyle mağduru yaralamaya teşebbüs suçunu oluşturup oluşturmadığı tartışılmadan ve sanığın, mağdurun daha sonra gerçekleştireceği görevleri engellemeye çalıştığı kabulüne nasıl ulaşıldığı denetimine olanak sağlayacak şekilde açıklanıp gösterilmeden, yetersiz gerekçeyle hüküm kurulduğunu kaydetti.	Despite the reasoning of the local courts, mentioning that the action took place while the Imam was informing the public in front of the mosque, and after finishing his duty of Calling the Sala, the court claimed that the victim had not initiated and was not continuing any duty of any concrete event, and not knowing if this act constituted the crime of attempting to injure the victim during the execution of a public duty, and it not being shown how they concluded that it would prevent the victim’s future tasks, it was judged that the conclusion was reached with insufficient reasoning.	Although the reasons stated by the local court, the action and finish the task of reading and prayer for the victim of Sela in front of the mosque that specifies an error occurred while informing people in the circle, in concrete cases, the victim a task that begins or continues in the absence of the enforcement of this verb to injure the victim of the crime they create for the public service and a debate without the defendant where the victim was trying to prevent later acceptance has been reached that the tasks you will perform are explained in a way that enables you to control how much without showing, noted that the ruled was established on insufficient grounds.	1			
2603	-0.243	Bu görüntü "santrfor lazım" yorumu getirebilir ama Ahmethan'a pas atmakta tereddüt eden, elindeki tek santrforun pozisyona sokamayan oyunla karşı karşıyayız.	This outlook might bring about the comment a "center-forward is needed", but hesitating to pass to Ahmethan, we are up against a game that cannot get its only center-forward into position.	This image may bring the interpretation of "need a centrifuge", but we are faced with a game that hesitates to pass Ahmethan, which does not put the only centrifuge in position.	0			
2919	-0.233	GMB kıdemli organizatörü Drew Duffy şöyle dedi: "Tesis genel müdüründen iş ihtiyaçları ve Tollcross'un geleceği için yatırım planı konusunda bir berraklık görememek üyelerimizi derin bir şekilde endişelendiriyor.	GMB senior organiser Drew Duffy, said: "The fact that we cannot get clarity from the general site manager over the business needs and investment plan for the future of Tollcross is deeply concerning our members.	"We are deeply concerned about our members not being able to see clarity about business needs and Tollcross's investment plan for the future," said drew Duffy, gmb senior Organizer.	1			
2972	-0.23	Alman Emniyet Teşkilatı'nın gazetenin konuyla ilgili sorularını yanıtlamadığı bilgisine yer verildi.	The German Law Enforcement Agency did not respond to the newspaper’s questions on the issue.	The German Police Department has not responded to the newspaper's questions.	0			
2640	-0.203	Birçok insan ise serbest piyasa onlara öyle olma hakkını verene kadar garip ya da saldırgan değil.	And many people aren't weird or offensive until the free market gives them the permission to be so.	Many people are not strange or aggressive until the free market gives them the right to be.	0			
2066	-0.199	Personel hiç beklemedikleri bir şeye, basın adına aktivistlere, dönüşürken, Valdez'in ofisi gazeteci cinayetlerini protesto eden pankart ve çıkartmalar için bir depo olarak yeniden kullanılıyor.	Valdez's office has been repurposed as a storage room for signs and stickers protesting journalist killings, as staff have become something they never expected to be: activists on behalf of the press.	The staff turned into activists in the name of the press, and Valdez's office is being reused as a warehouse for banners and stickers protesting journalist murders.	1			
2226	-0.199	Sonrasında Ali İhsan paşanın Atatürk'le arası hiçbir zaman düzelmiyor.	Later, Ali İhsan Pasha never got along with Atatürk.	After that, Ali ihsan Pasha's relationship with Atatürk never improved.	0			
7	-0.199	Bu sayede daha önce belirlenemeyen daha küçük boyuttaki asteroitleri de belirleme imkanımız var.	Consequently, we are able to identify small asteroids which could not previously be identified.	In this way, we have the opportunity to determine asteroids of a smaller size that could not be determined before.	0			
849	-0.199	Aileler genel olarak bu konuya dikkat etmiyor.	In general, families do not pay enough attention to such things.	Families generally don't pay attention to this issue.	0			
82	-0.186	Baas Rejimi'nin yıkıldığı 2003 tarihinden sonra Irak merkezi hükümetinin Kürtlere birçok vaatlerde bulunduğunu hatırlatan Barzani, çok geçmeden Sincar'daki felaketin meydana geldiğini dile getirerek DEAŞ'la mücadelenin ardından direkt referandum kararı alındığını söyledi.	Reiterating that the Iraq central government had made several promises to the Kurds after the fall of the Baath Regime in 2003, Barzani said that not much later, after the disaster in Sinjar and after fighting against DAESH, they decided to hold a referendum.	After the collapse of the Baathist regime in 2003, the Iraqi central government made many promises to Kurds, Barzani recalled, soon after the disaster in Sincar expressed that the struggle with the Daaş directly after the referendum decision was taken, he said.	0			
2540	-0.178	Darrell'lar Rhodes'un en gözde Scotney ailesi: "Bu beyler bayağı düzenbaz gibi görünüyorlardı, her zaman borca giriyorlar ve karşılayamadıkları şeyler için para harcıyorlardı.	The Darrells are Rhodes's favourite Scotney family: "The gentlemen seemed to be quite roguish, always getting into debt and spending money on things they couldn't afford.	"These gentlemen seemed quite rogues, always getting into debt and spending money on things they couldn't afford.	0			
249	-0.173	"Yedi yıl görevde bulundu yetmez mi" diyebilirsiniz.	You can very well say "He has been in the office for seven years, isn’t that enough".	You can say," as soon as seven years have served."	1			
1222	-0.173	"Gerek global, gerekse bölgesel gelişmeler olsun bizi endişeye sevk etmiyor değil" diyen Ermut, yatırımcıları çeşitlendirmeye çalıştıklarını vurguladı.	Adding that "we can’t say that we are not worried about both global and regional developments", Ermut stressed that they were trying to diversify their investors.	"Whether global or regional developments are not driving us to worry," said Ermut, adding that they are trying to diversify investors.	1			
289	-0.173	Bunlar, Tahran gezisine bile tahammülleri olmayan İran karşıtlarıydı.	These took such an anti-Iran position that they couldn’t even put up even with the Tehran trip.	These were the opponents of Iran who would not tolerate even the Tehran trip.	0			
1863	-0.173	Yavaş yavaş artık enerjimizi o alanlara değil, enerjimizi kapsayıcı büyümeye, istihdam artışını sağlayacak reformlara...	We should now slowly direct our energies not to those fields but to those reforms that will bring about comprehensive growth, increased employment...	Gradually, our energy is no longer to those areas, but to the extent that our energy is to grow inclusive and to the reforms that will enable employment growth...	0			
1869	-0.173	Sadece Pazar kaybetmiyoruz 3,5 milyonun üzerinde göç dalgasıyla karşı karşıyayız.	We didn’t just lose a market, we are up against an immigration wave of over 3.5 million.	We are not only losing the market, but we are facing over 3.5 million migrations.	0			
2559	-0.165	MHP'nin Türk milletinin vicdanında edindiği yeri yok etmeye kılıç artığı eski Marksistlerin gücü yetmez.	Old Marxists will never have enough power to diminish the high regard in which MHP is held in the Turkish people’s conscience.	The strength of the Old Marxists, which the MHP sought to destroy the place acquired in the conscience of the Turkish nation, is not enough.	1			
868	-0.161	Bu da gösterir ki bir çocuğun yaşamına son vermesi sadece oyunların etkisi değil.	This shows that a child ending his own life could not have been only because of some game.	This shows that the end of a child's life is not just the effect of games.	0			
1622	-0.157	Daha muhteşem bir alan algısı yaratan oturma odasının güzelliği, kullanımda olmadığı zaman mutfağı kapayabilmek.	Giving the perception of a more glamorous space, the beauty of the living room is being able to close off the kitchen when it's not in use.	The beauty of the living room, which creates a more magnificent perception of space, is to close the kitchen when it is not in use.	0			
