a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source
135	0.275	Гонщик команды "Мерседес" Льюис Хэмилтон, ставший победителем 16-го этапа чемпионата "Формулы-1" Гран-при России, в шутку пообещал не устраивать президенту России Владимиру Путину душ из шампанского, как в 2015 году.	The Mercedes race Lewis Hamilton who won the 16th stage of Formula-1 Grand-prix Russia, made a joke promising Putin not to spray Champagne into him, as he did in 2015.	Mercedes team driver Lewis Hamilton, who won the 16th stage of the Formula One championship at the Russian Grand Prix, jokingly promised not to give Russian President Vladimir Putin a champagne shower, as in 2015.	0		
1413	0.29	Я думаю, итальянцу не хватает гибкости восприятия ситуации.	I think that Italian isn’t flexible enough in his perception of the situation.	I think the Italian lacks the flexibility of understanding the situation.	0		
1971	0.319	Выбор, который сделают граждане Македонии, определит будущее не только Балкан, но и Европы в целом".	The choice that the citizens of Macedonia will make will determine the future not only of the Balkans, but also of Europe as a whole".	The choice that Macedonia's citizens will make will determine the future not only of the Balkans, but of Europe as a whole".	0		
1096	0.334	Несмотря на вылет из топ-3, продолжает удивлять со знаком "+" триллер с Блейк Лайвли и Анной Кендрик "Простая просьба": за 17 дней в американском прокате картина Пола Фига, от которой каких-то нереальных финансовых свершений изначально не ждали от слова "совсем", собрала $43 млн (включая 6,6 млн за 28-30 октября) и прямо сейчас имеет аж 62,9 млн общей выручки.	In spite of its departure from the top 3, the thriller A Simple Favor, with Blake Lively and Anna Kendrick, continues to be an incredible surprise: The movie was not realistically expected to perform well financially, but during 17 days in distribution in America this movie by Paul Feig collected $43 million (including $6.6 million for 28-30 October). And right now it actually has $62.9 million in total sales.	Despite dropping out of the top 3, the thriller with Blake Lively and Anna Kendrick "A Simple Request" continues to surprise with a "+" sign: in 17 days at the US box office, Paul Fieg's film, from which some unrealistic financial accomplishments were not initially expected from the word "at all", has collected $43 million (including 6.6 million for October 28-30) and right now has as much as 62.9 million total revenue.	1		
1568	0.334	Она написала на своей страничке, что ее четырехлетний сын в течение всего года парковал свой беговел (детский велосипед без педалей) около одного и того же фонарного столба.	She wrote on her page that her four-year old son parked his balance bike (children's bicycle without pedals) on the same lamppost all year.	She wrote on her page that her four-year-old son had been parking his treadmill (a pedal-less children's bike) near the same lamppost all year round.	0		
1534	0.334	Он рассказал, что ночью неизвестные похитили аккумулятор из автомобиля, который стоял в ограде, а также срезали электрокабель с гаража.	He reported that at night, unknown persons stole a battery from his car that was parked by a fence, and they also made off with an electrical cable from the garage.	He said that during the night, unknown men stole a battery from a car that was parked in a fence, and also cut an electrical cable from the garage.	0		
211	0.334	Результатом нашего совещания с автопроизводителями должно стать в обозримом будущем как раз создание российского болида "Формулы-1", который не имеет аналогов в мире, - заявил Дмитрий Козак.	Our meeting with car producers should result in creating a Russian car for Formula-1 in the nearest future which would have no analogs in the world, said Kozak.	The result of our meeting with car manufacturers should be, in the foreseeable future, the creation of a Russian Formula One car, which has no analogues in the world, said Dmitry Kozak.	0		
672	0.335	Первый вице-спикер Верховной Рады Ирина Геращенко извинилась перед осужденным в РФ за "шпионаж" украинским журналистом Романом Сущенко за то, что его до сих пор не удалось освободить из застенков.	The first vice-speaker of the Verkhovna Rada, Irina Gerashchenko, apologized to the Ukrainian journalist Roman Sushchenko, who was convicted in the Russian Federation for "espionage", for not being able to release him from the dungeons.	First Deputy Speaker of the Verkhovna Rada Irina Gerashchenko apologized to the Ukrainian journalist Roman Sushchenko, who had been convicted in the Russian Federation for "espionage", for the fact that he had still not been released from detention.	0		
644	0.347	"Пока это, к сожалению, не Украина, но я не сомневаюсь, что и российское видение украинского кризиса тоже будет со временем востребовано", - добавил парламентарий.	"At the moment, unfortunately, it is not Ukraine, but I do not doubt that in time the Russian view on the Ukrainian crisis will also be sought," the parliamentarian added.	"So far, unfortunately, it is not Ukraine, but I have no doubt that the Russian vision of the Ukrainian crisis will also be in demand over time", the parliamentarian added.	0		
1785	0.396	При счете 3:6, 2:4 россиянка отказалась от продолжения борьбы из-за проблем со здоровьем.	With the score at 3:6, 2:4, the Russian woman could not continue the duel because of health problems.	At the score of 3: 6, 2: 4 the Russian refused to continue the fight because of health problems.	0		
1150	0.397	При этом результаты голосования не будут иметь обязательной юридической силы, но будут носить консультативный характер.	At the same time, the results of the voting will not be legally binding, but will be of a consultative nature.	The results of the vote would not be legally binding, but would be consultative.	0		
1538	0.399	Установлено, что они проникли во двор и совершили хищение, причем планировали сдать кабель длиной около 30 метров на металлолом, но не успели.	It was established that they had entered the courtyard and stolen the property. They had planned to pawn the cable, which was about 30 meters long, for scrap, but they had not managed to do so before they were caught.	It is established that they entered the yard and committed theft, and planned to hand over the cable, which is about 30 meters long, for scrap metal, but did not have time.	0		
1389	0.401	Сергей Сироткин: Я ничего не мог сделать, и это было очень больно	Sergey Sirotkin: There was nothing I could do and it was really difficult	Sergei Sirotkin: I couldn't do anything, and it was very painful	0		
1024	0.403	Менталитет русского и немецкого народов разный, но немногочисленные отличия между ними не играют большой роли для взаимопонимания.	Russians and Germans have different mentality but these differences don’t prevent them from understanding each other.	The mentality of the Russian and German peoples is different, but the few differences between them do not play a big role for mutual understanding.	1		
944	0.403	Они не пострадали, поскольку пилоты успели среагировать и остановить набирающий скорость самолет.	They were not harmed, since the pilots managed to react and stop the accelerating plane.	They were not injured, as the pilots had time to react and stop the plane gaining speed.	0		
1476	0.407	Комментаторы высказали разные мнения: кто-то из местных жителей отметил, что в присутствии на кладбище мелкого рогатого скота нет никакого вреда, а их аппетит даже может помочь в расчистке территории от сорняков и зарослей травы, однако некоторым из жителей города поведение животных не пришлось по душе:	Commentators expressed various opinions: some local residents noted that a few livestock in the small cemetery causes no harm to anyone, and their appetite could even help clear the area of weeds and mow the grass. Nevertheless, some residents of the city are not enamored of the animals.	Commentators expressed different opinions: some locals noted that there was no harm in the presence of small cattle in the cemetery, and their appetite could even help in clearing the area of weeds and grass thickets, but some of the city's residents did not like the animals "behavior:	0		
641	0.408	Глава профильного комитета Совфеда не исключает, что это свидетельствует о некой тенденции, которая, по его мнению, "будет выделять нынешнюю сессию [Генассамблеи ООН], хотя в полной мере эта тенденция, возможно, проявится через год, через два, три".	The head of the Federation Council committee does not exclude that this indicates a kind of tendency which, in his opinion, "will distinguish the current session [of the UN General Assembly], although this tendency may only fully manifest itself in a year, in two, three".	The head of the relevant committee of the Security Council does not rule out that this indicates a certain trend, which, in his opinion, "will single out the current session [of the UN General Assembly], although the full extent of this trend will probably emerge in a year, two, three years".	0		
1063	0.411	В качестве одной из причин его ухода близкий к Кремлю источник "Ъ", называл личные обстоятельства, отмечая, что по качеству работы к главе управления существенных претензий не было.	As one of the reasons for his departure a source close to the Kremlin named personal circumstances, noting that there were no substantial complaints about the quality of his work as head of the directorate.	As one of the reasons for his departure, a source close to the Kremlin, Kommersant, cited personal circumstances, noting that in terms of the quality of work to the head of the department, there were no significant claims.	0		
367	0.412	Это не только (авиабаза НАТО. Ред.) в бухте Суда на острове Крит, откуда истребители взлетают для ударов.	It is not only (NATO aviation base - edit.) in the Suda bay on the Krit island, a starting point for the attack jets.	It's not just (the NATO air base) in Suda Bay on the island of Crete, from where fighter jets take off for strikes.	0		
845	0.417	"Непростая игра была, сложная.	"It was not an easy game. It was complicated.	It wasn't an easy game, it was a difficult game.	0		
1047	0.421	В Волгограде в последний день сентября осадки не прогнозируются.	In Volgograd, no precipitation is predicted for the last day of September.	In Volgograd, no precipitation is forecast on the last day of September.	0		
621	0.437	Александр Вучич заявил, что не желает допустить сценария, при котором на территории государства могут случиться какие-то крупные военные столкновения.	Alexandar Vucic said he did not want to allow a scenario in which any major military clashes could ignite in the state.	Aleksandar Vucic stated that he does not want to allow a scenario in which some major military clashes could occur on the territory of the state.	0		
1849	0.461	"Ты королева и тебе нужен король, а тот, кто променял тебя на бумажки, просто он не достоин тебя.	“You are a queen and you need a king. The one who exchanged you for papers doesn’t deserve you.	"You are a queen and you need a king, and the one who traded you for pieces of paper is simply not worthy of you.	0		
719	0.463	Начали делать анализы, оказалось, плохи дела, артерия не пропускает кровь.	They began to do tests, and the resuls turned out to be bad, the artery was not allowing the flow of blood.	They started to do tests, it turned out that things were bad, the artery didn't allow blood to pass.	0		
645	0.467	Это связано с тем, полагает он, что появляется "адекватное, здравое восприятие России как не просто возможного - неотъемлемого участника в решении глобальных проблем современности".	He supposes that this is connected with the appearance of a "sensible, reasonable perception of Russia as not just a possible but integral participant in the solution of global problems of our time."	This is because, he believes, there is an "adequate, sound perception of Russia as not just possible - an integral participant in the solution of the global problems of our time".	0		
640	0.472	"Если внимательно проанализировать выступление президента США, президента Франции, выступление министра иностранных дел Германии, я сейчас не беру Украину, Грузию, или британцев, во всяком случае, хора не было совершенно точно", - обратил внимание политик, заметив, что Россия "больше не являлась некоей стенкой, о которую тренируют удары теннисным мячиком".	"If one carefully analyses the speech of the president of USA, the president of France, the speech of the foreign minister of Germany, I'm not now taking Ukraine, Georgia, or the British, in any case, there was certainly no choir," the politician pointed out, noting that Russia "is no longer a kind of wall on which to practise hitting a tennis ball".	"If you carefully analyze the speech of the President of the United States, the President of France, the speech of the Minister of Foreign Affairs of Germany, I do not now take Ukraine, Georgia, or the British, at any rate, the chorus was not absolutely accurate", the politician noted, noting that Russia "was no longer some kind of wall against which tennis ball blows are trained".	1		
1478	0.472	Нечего баранам там делать.	Sheep have no business being there.	Nothing for the sheep to do there.	0		
263	0.472	Как отмечает корреспондент Euronews Карлос Марласка, фильм Исаки Лакуэсты органично вписался в коллекцию картин, которые получали "Золотые раковины", "но фестиваль в Сан-Себастьяне не обошелся и без неожиданных, порой шокирующих решений жюри, которые иногда даже называют визитной карточкой конкурса".	As the Euronews correspondent Carlos Marlaska notes, the film by Isaki Lacuesta fits well into the collection of films that received "Golden Shells", but the festival in San Sebastian did not pass without unexpected, at times shocking jury decisions that are sometimes called the hallmark of the competition".	As Euronews correspondent Carlos Marlasca notes, Isaki Lacuesta's film fit seamlessly into the collection of films that received the Golden Shell, "but the San Sebastián festival was not without unexpected, sometimes shocking, jury decisions, which are sometimes even called the calling card of the competition".	0		
1497	0.472	Но это слово устаревшее, в своем правильном значении уже не использующееся.	But this word is obsolete and in its correct meaning it is no longer used.	But the word is obsolete, in its correct meaning no longer used.	0		
1863	0.472	Не забили, с нулем голов игры не выигрываются, но само содержание игры было правильным.	Did not score, and with no goals you cannot win a game, but the very content of the game was right.	We didn't score, with zero goals games are not won, but the content of the game was right.	0		
1193	0.472	Тогда метру и в голову не пришло брать сына в собственную команду.	Then in no way did it occur to the mentor to take his son into his own team.	Back then, it never occurred to him to take his son on his own team.	0		
1555	0.481	Отсюда военным грузовым самолетом были эвакуированы в Макассар 200 человек - прежде всего, раненые, а также приехавшие сюда туристы, которые не могли вернуться домой.	From here, a military cargo plane evacuated 200 people to Makassar - first of all, the wounded, and also tourists who had come here and who could not return home.	From here, a military cargo plane evacuated 200 people to Makassar - primarily the wounded, as well as tourists who had come here and could not return home.	0		
1828	0.483	Информация о заложенном в здании взрывном устройстве не подтвердилась.	The information about a bomb left in the building didn’t confirm.	Information about an explosive device planted in the building has not been confirmed.	0		
1521	0.5	Впрочем, вряд ли это сильно повлияло на результат"	However, it is unlikely this greatly affect the result"	However, it hardly had a big impact on the result "	0		
150	0.5	Алексей Кокорин еще не отработал первый губернаторский срок, его полномочия истекают в 2019 году.	Alexei Kokorin has not yet served out his first gubernatorial term, his term in office ends in 2019.	Alexei Kokorin has not yet served his first term as governor, and his term is due to expire in 2019.	0		
808	0.51	Этот бункер, а иначе конструкцию не назовешь, так как уровень ее бронирования соответствует стандарту В7, установлен на шасси мощного пикапа Ford Super Duty.	This bunker (it could not be called anything else, since its armor level satisfies the B7 standard) is installed on the chassis of the powerful Ford Super Duty pickup truck.	This bunker, or else the structure cannot be called, as its booking level corresponds to the B7 standard, is mounted on the chassis of a powerful Ford Super Duty pickup truck.	1		
188	0.531	Маск - "неплохой парень, который не умеет управлять автомобильной компанией".	Musk is “not a bad guy, but he’s not capable of managing a car company.”	Musk is "not a bad guy who doesn't know how to run a car company".	0		
1028	0.534	Но мне кажется, для взаимопонимания между народами и для работы переводчика это не играет весомой роли", - сказала специалист в комментарии "РИА Новости".	But it seems to me, for mutual understanding between the people and for work of the translator it doesn't play a major role,” she said in the interview to RIA Novosti.	But it seems to me, for mutual understanding between peoples and for the work of an interpreter, this does not play a significant role, "the specialist said in a comment to RIA Novosti.	0		
475	0.538	По итогам переговоров стороны выразили намерение двигаться в сторону мирного разрешения противоречий, хоть и не взяли на себя никаких юридических обязательств.	At the end of the negotiations, the two sides expressed the intention to move in the direction of a peaceful resolution of the conflict, while not taking on any legal obligations.	As a result of the talks, the sides expressed their intention to move towards a peaceful resolution of the differences, although they did not undertake any legal obligations.	0		
233	0.538	Его контракт с "Уильямс" заканчивается в конце сезона, а результаты пока не впечатляют: он занял 18-е место в квалификации Гран-при России.	His contract with “Williams” is until the end of season, but the results aren’t striking: he took the 18th place in the Russian grand prix qualification.	His contract with Williams ends at the end of the season, and the results so far have not been impressive: he finished 18th in qualifying for the Russian Grand Prix.	0		
477	0.589	Вместе с этим, другие практические шаги на пути денуклеаризации Северной Кореи пока буксуют.	At the same time, no other practical steps toward the denuclearization of North Korea are being taken.	Meanwhile, other practical steps toward North Korea's denuclearization have so far stalled.	1	difference of scale	
205	0.589	Митрополит также подчеркнул, что УПЦ - это не российская церковь, а украинская, поскольку "верующие этой церкви считают себя украинцами, они патриоты своей страны".	Metropolitan also stressed that the Ukrainian church isn’t Russian, as “the congregation considers themselves Ukrainian, they are patriots of their land".	The Metropolitan also stressed that the UOC is not a Russian church, but a Ukrainian one, because "the faithful of this church consider themselves Ukrainians, they are patriots of their country".	0		
1948	0.589	Как могут, откупаются от боевиков за деньги - лишь бы их не трогали.	Despite their efforts, militants are paid off merely not to touch them.	As they can, they buy off the militants for money - if only they would not be touched.	0		
554	0.589	Если мы проанализируем значение защиты сирийского неба, то увидим, что это является признаком безопасности и стабильности, а не войны.	If we analyse the significance of defence of the Syrian sky, we see that this is a sign of security and stability, and not war.	If we analyze the significance of protecting the Syrian sky, we see that this is a sign of security and stability, not war.	0		
724	0.605	Но жена актера не позволила хоронить живого актера, она свято верила, что сможет справиться с болезнью и больше года не отходила от постели любимого супруга.	But the actor's wife did not allow the living actor to be written off, she firmly believed that he could beat the disease and for over a year did not leave her beloved husband's bedside.	But the actor's wife did not allow the live actor to be buried, she saintly believed that she could cope with the disease and did not leave the bed of her beloved husband for more than a year.	0		
911	0.606	Поэтому заявление Зинке вышло вполне в компетенции возглавляемого им ведомства, хоть и не было лишено политического окраса.	For this reason, Zinke’s announcement falls entirely within his sphere of responsibility, though not without political overtones.	So Zinke's statement fell well within the purview of the agency he heads, though it was not devoid of political overtones.	0		
34	0.608	В частности, до сих пор нет четкой договоренности о том, как стороны будут взаимодействовать после того, как Лондон покинет сообщество.	In particular, there’s still no agreement on how the parties are going to interact after London leaves the community.	In particular, there is still no clear agreement on how the parties will interact after London leaves the community.	0		
1800	0.61	Ранее стало известно, что депутаты Верховной рады работают над реализацией законопроектов №4128 (об изменении подчиненности религиозных общин), №4511 (об особом статусе религиозных организаций) и №5309 (об изменении названия религиозных организаций).	Earlier it became known that deputies of the Verkhovna Rada are working on implementing draft bill No. 4128 (on changing the governance of religious organizations), No. 4511 (on the special status of religious organizations,) and No. 5309 (on renaming religious organizations).	Earlier, it became known that deputies of the Verkhovna Rada are working on the implementation of bills No. 4128 (on changing the subordination of religious communities), No. 4511 (on the special status of religious organizations) and No. 5309 (on changing the name of religious organizations).	0	not negation	
343	0.61	Гвинет и Крис в 2003 году не устраивали пышного торжества.	In 2003 Gwyneth and Chris did not arrange a luxuriant celebration.	Gwyneth and Chris did not host a lavish celebration in 2003.	0		
861	0.61	- Я считаю, что этот арбитр подтвердил свою непригодность к судейству матчей российской премьер-лиги.	"I believe that the referee confirmed that he is not suitable for refereeing matches in the Russian Premier League.	- I believe that this referee has confirmed his unfitness to referee matches of the Russian Premier League.	0		
1186	0.61	Да потому что не пробиться сквозь кумовство!"	Yes, because you cannot break through nepotism!"	Because you can't break through the nepotism! "	0		
1195	0.61	Агутин поступить как профессионал не смог.	Agutin could not act like a professional.	Agutin couldn't act like a professional.	0		
1382	0.61	При этом в правоохранительных органах не исключают, что Хакимзянов мог инсценировать покушение из-за выборов.	At the same time, the law-enforcement agencies do not exclude that Khakimzyanov could have staged an assassination attempt due to the elections.	At the same time, the law enforcement agencies do not rule out that Khakimzyanov may have staged an assassination attempt because of the elections.	0		
567	0.61	Досрочное голосование невозможно без роспуска парламента, а законных оснований для этого пока нет.	Early voting is impossible without dissolving parliament, but there are currently no legal grounds for this.	Early voting is impossible without the dissolution of parliament, and there are no legal grounds for it yet.	0		
1900	0.61	Тем не менее лидер ведущей оппозиционной партии "Внутренняя македонская революционная организация - Демократическая партия за македонское национальное единство" (ВМРО-ДПМНЕ) Христиан Мицкоский заявил, что голосовать на референдуме не будет.	Nevertheless, the leader of the main opposition party "Internal Macedonian Revolutionary Organization - Democratic Party for Macedonian National Unity" (IMRO - DPMNU) Christian Mitskosky announced that he would not vote on the referendum.	Nevertheless, the leader of the leading opposition party, the Inner Macedonian Revolutionary Organization - Democratic Party for Macedonian National Unity (VMRO-DPMNE), Christian Mitskoski, has stated that he will not vote in the referendum.	0		
1479	0.61	Про баранов, конечно не скажешь, что они кощунствуют, но все же не дело это". (стиль сохранен) - отметила в своем сообщении возмущенная кемеровчанка.	Of course, you can't say that the sheep are commiting an act of blasphemy, but that's not the point."	Of course, you can't say about the sheep that they are blasphemous, but that is not the point". (the style is preserved) - noted the outraged resident of Kemerovo in her message.	0		
740	0.61	Таким образом, подчеркнули в пресс-службе, размер единовременной выплаты составил за вычетом подоходного налога 223 892 рубля, а не 1 млн рублей, о котором написали СМИ.	Thus, the one-off payment was 223,892 without the income tax, the press service stated, not one million, as the media reported.	Thus, the press service emphasized, the size of the lump-sum payment amounted to 223,892 roubles net of income tax, not the 1 million roubles reported by the media.	0		
791	0.61	"Нам с детства не прививают культуру чтения и акцептации текстов", - заявил журналист.	"From childhood we were not taught a culture of reading and acceptance of texts", - the journalist said.	"We have not been instilled with a culture of reading and accepting texts since childhood", the journalist stated.	0		
1465	0.61	Выступая вскоре после закрытия избирательных участков, премьер-министр Македонии Зоран Заев, сторонник смены наименования республики, заявил, что, если среди поданных голосов окажется больше "да", то Македония сменит наименование, невзирая на недостигнутый кворум.	Speaking soon after the closure of the polling stations, the prime minister of Macedonia Zoran Zaev, a supporter of changing the name of the republic, said that if among the votes cast there are more "yes" votes, then Macedonia will change its name, despite the quorum not reached.	Speaking shortly after the polls closed, Macedonian Prime Minister Zoran Zaev, a supporter of changing the name of the republic, said that if more "yes" votes were cast, Macedonia would change the name, regardless of the quorum that had not been reached.	0		
1031	0.61	Россия - естественная часть Европы, нет смысла пытаться ее игнорировать.	Russia is a natural part of Europe, there’s no sense in ignoring it.	Russia is a natural part of Europe, there is no point in trying to ignore it.	0		
646	0.61	"Я не хотел бы ошибиться, но у меня есть ощущение, что мы где-то проходим точку, за которой движение уже не будет движением вспять, оно будет движением вперед", - добавил он.	"I hope I am not mistaken, but I have a feeling that we will pass the point somewhere beyond which movement will not be backwards, it will be movement forwards," he added.	"I don't want to make a mistake, but I have a feeling that somewhere we are passing a point beyond which the movement will no longer be a movement backwards, it will be a movement forward", he added.	0		
560	0.62	Господин Пашинян также не исключил, что "снова выведет людей на улицы" для проведения внеочередных выборов, если обсуждение этого вопроса с парламентскими силами не увенчается успехом.	Mr. Pashinyan also did not exclude that "again people will take to the streets" for conducting early elections, if the discussion of this issue with parliamentary forces is not crowned with success.	Mr Pashinyan also did not rule out that he would "take people to the streets again" to hold snap elections if discussions with the parliamentary forces failed.	0		
1693	0.629	И речь идет только о зафиксированных лицах, не считая тех, кто не был идентифицирован, подчеркнул Бондарев.	This figure refers only to those people who have been identified, and does not taken into account those who were not identified, Bondarev emphasized.	And we are talking only about recorded persons, not including those who have not been identified, Bondarev stressed.	0		
1585	0.635	Да, зачастую не все складывалось так, как нужно, и, думаю, он даже часть своего потенциала еще не реализовал.	Yes, things have often not worked out as he hoped, but I think he has still to realize his full potential.	Yes, things often didn't turn out the way they needed to, and I think he hasn't even realized some of his potential yet.	0		
276	0.658	Глава государства уже не первый раз посещает эти края	It isn’t the first visit of the state leader to this region.	It is not the first time the head of state has visited these regions	0		
45	0.671	Собаки - не единственный подарок.	Dogs were not the only present.	Dogs are not the only gift.	0		
676	0.674	Нет ни одной международной встречи, ни одних переговоров, ни одного интервью, где бы Президент Украины, украинская власть, все мы, не требовали оказывать давление на Кремль, оказывать давление на Путина с одним требованием - освобождения Олега, освобождения Романа, освобождения всех-всех политзаключенных Кремля и тех ребят, которых незаконно удерживают на оккупированных территориях Донбасса и Крыма", - рассказала Геращенко.	There is not a single international meeting, not a single negotiation, not a single interview, in which the President of Ukraine, the Ukrainian government, we all, have not demanded that pressure is put on the Kremlin, that pressure is put on Putin, with one demand - Oleg’s release, Roman’s release, the release of the political prisoners of the Kremlin and the people who are being illegally detained in the occupied territories of Donbass and Crimea", - said Gerashchenko.	There is not a single international meeting, not a single negotiation, not a single interview, where the President of Ukraine, the Ukrainian authorities, all of us, did not demand to exert pressure on the Kremlin, to exert pressure on Putin with one demand - the release of Oleg, the release of Roman, the release of all political prisoners of the Kremlin and those guys who are being illegally detained in the occupied territories of Donbas and Crimea, "Gerashchenko said.	0		
1171	0.676	Я уже даже сомневалась, что Агутину хватит сил и совести не тащить до конца своего папу совсем уже к первому месту", - рассуждали Ирина Петровская и Ксения Ларина в программе "Человек из телевизора".	I even doubted that Agutin had the stamina and sense of conscience to not drag his dad to the end all the way to first place", - discussed Irina Petrovskaya and Ksenia Larina in the program "Person from the TV".	I already doubted that Agutin would have the strength and conscience not to drag his dad all the way to the first place, "Irina Petrovskaya and Ksenia Larina argued in the program" The Man from TV".	0		
1495	0.681	Так у нас появилось это самое "д[а]влеть", которое и на письме употребляют через "а", что, по-хорошему, неправильно и невозможно с точки зрения процессов возникновения и развития этих слов.	So we had this very "d[a]vlet’", which is also used in writing with an "a", which, really, is incorrect and impossible from the point of view of the processes of the origin and development of these words.	So we have this very "d", which is also used in writing through "a", which, in a good way, is wrong and impossible from the point of view of the processes of emergence and development of these words.	0		
711	0.686	Болезнь, к сожалению, не щадит никого, а истории популярных людей о победах над раком, дает надежду многим больным.	The disease, unfortunately, does not spare anyone, and popular people’s stories about their victories over cancer give hope to many sufferers.	The disease, unfortunately, spares no one, and popular people's stories of victories over cancer give hope to many sufferers.	0		
895	0.687	Я только и делал, что много пил и совсем не думал о сексе.	“All I did was drink lots of beer, and I wasn’t thinking at all about sex.	All I was doing was drinking a lot and not thinking about sex at all.	0		
811	0.694	Чтобы пассажирам не навредила даже взрывная волна от разорвавшегося рядом с автомобилем снаряда, салон машины оснащен специальными амортизирующими креслами.	In order that passengers not be harmed even by the blast wave of an explosive detonated near the automobile, the interior of the car is equipped with special shock-absorbing chairs.	In order for passengers not to be harmed even by an explosive wave from a shell that exploded next to the car, the interior of the car is equipped with special shock absorbing seats.	0		
422	0.716	Это не первая поездка Владимира Путина на отдых в тайгу.	This is not the first trip of Vladimir Putin to the taiga.	This is not Vladimir Putin's first trip on holiday to the taiga.	0		
1463	0.734	Но, как передает агентство ЭФЕ, лишь 34% явки на воскресном плебисците "не дотянули" до конституционного порога в 50%.	But, as the EFE agency reports, the just 34% turnout at the Sunday plebiscite "did not reach" the constitutional threshold of 50%.	But, as the EFE agency reports, only 34% of turnout in Sunday's plebiscite "fell short" of the constitutional threshold of 50%.	0		
994	0.736	После дерби с ЦСКА, окончившегося справедливой ничьей, "Спартак" с минимальным счетом и не без труда обыграл в Кубке "Черноморец", и пока рано говорить о том, приблизился ли самый популярный клуб России к выходу из кризиса.	After the match with CSKA Moscow, which ended in a fair draw, Spartak was able to beat Chornomorets Odesa with a minimum score and not without some difficulty in the championship. It is still too early to say whether the most popular club in Russia has managed its way out of its crisis.	After the derby with CSKA, which ended in a fair draw, Spartak beat Chernomorets with minimal score and not without difficulty in the Cup, and it is too early to say whether Russia's most popular club has come close to getting out of the crisis.	0		
1811	0.736	Митрополит призвал не идти на поводу у тех, кто вводит верующих в заблуждение.	The Metropolitan urged his followers not to be taken in by those who mislead believers.	The Metropolitan urged not to go along with those who mislead the faithful.	0		
136	0.748	"На этот раз я не буду поливать вас шампанским, да и в тот раз это был кто-то другой", - пошутил Хэмилтон во время короткого разговора с главой государства, передает ТАСС.	“This time I won’t spray you with Champagne, and the last time also it was someone else,” joked Hamilton in a short conversation with the head of the state, TASS reports.	"This time I won't be pouring champagne on you, and this time it was someone else", Hamilton joked during a brief conversation with the head of state, TASS reports.	0		
1962	0.748	Они возникают в результате трудных компромиссов не могут осчастливить абсолютно всех".	They arise as a result of difficult compromises and they cannot make absolutely everyone happy".	They arise from difficult compromises that cannot make absolutely everyone happy".	0		
836	0.748	Но, например, Марина Семенова, возглавляющая вологодскую подгруппу (ее формулировку поддержали еще 15 подгрупп), сказала "Ведомостям", что приглашения не получала и приезжать не планировала: "Мы не поняли, кто друг, а кто враг".	But, for example, Marina Semenova, who heads the Vologda subgroup (the wording of her question was supported by another 15 subgroups), told Vedomosti that she did not receive an invitation and did not plan to take part: "It was not clear who our friend was and who our enemy".	But, for example, Marina Semenova, who heads the Vologda sub-group (its wording was supported by 15 other sub-groups), told Vedomosti that she had not received an invitation and had not planned to come: "We did not understand who is a friend and who is an enemy".	0		
1165	0.748	Когда в слепых прослушиваниях он с первых нот узнал голос своего отца Николая Агутина многие надеялись, что он сохранит нейтралитет и не повернется к исполнителю.	When in blind auditions he recognized the voice of his father Nikolay Agutin from the first notes, many hoped that he would remain neutral and not turn to the performer.	When, in blind auditions, he recognized from the first notes the voice of his father, Nikolai Agutin, many hoped that he would remain neutral and not turn to the performer.	0		
1717	0.748	По словам Порошенко, он как президент будет защищать украинских граждан, где бы они не находились - на востоке или на западе страны.	According to Poroshenko, he as president will protect Ukrainian citizens, no matter where they are - in the east or the west of the country.	According to Poroshenko, as president, he will protect Ukrainian citizens wherever they are - in the east or the west of the country.	0	"no matter where they are" vs. "wherever they are"	
507	0.748	Гнева писательницы не удалось избежать даже Службе безопасности Украины: придя туда и услышав разговоры сотрудников друг с другом по-русски, она учинила скандал и ушла, хлопнув дверью.	Even the Ukrainian Security Service could not evade the writer's wrath: having visited there and overheard conversations among coworkers in Russian, she started a scandal and absconded, slamming the door.	The writer's anger could not be avoided even by the Security Service of Ukraine: when she came there and heard the employees talking to each other in Russian, she caused a scandal and left, slamming the door.	0		
1545	0.75	При этом не уточняется, чем болен ребенок.	The report doesn’t specify the child’s disease.	This does not specify what the child is ill with.	0		
1965	0.752	По мнению журналиста Цветина Чилиманова, Македонии нет смысла вступать в ЕС - достаточно иметь с ним партнерские отношения: "Многие из тех, кому не нравится соглашение, считают, что нынешнее социалистическое правительство во главе с Заевым навязано из вне с тем, чтобы изменить название страны.	According to journalist Tsvetin Chilimanov, it does not make sense for Macedonia to join the EU - it is sufficient to have partnership relations with it: “Many people who do not like the agreement believe that the current socialist government headed by Zaev has been imposed from the outside in order to change the name of the country.	According to journalist Tsvetin Chilimanov, it makes no sense for Macedonia to join the EU - it is enough to have a partnership with it: "Many of those who do not like the agreement believe that the current socialist government, led by Zaev, is imposed from outside in order to change the name of the country.	0		
806	0.759	В свободное от фантазий время инженеры этой компании создают бронеавтомобили для полиции.	In their time spent not pursuing dreams, the engineers of this company make armored cars for the police.	In their spare time, engineers from this company create armored vehicles for the police.	0		
