a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source_cue
1625	0	Erstmals seit mehr als einem Jahr auswärts kein eigenes Tor geschossen, wie zur gleichen Zeit der Vorsaison zwei Pflichtspiele in Serie ohne Sieg, die Tabellenführung in der Fußball-Bundesliga vorerst an Borussia Dortmund verloren.	For the first time within more than a year of playing away there were scored no goals, as at the same time two mandatory preseason games in series without a victory, the league leaders in the Bundesliga lost to Borussia Dortmund.	For the first time in more than a year no own goal was scored away from home, as at the same time of the pre-season two obligatory games in a row without a win, lost the league lead in the Bundesliga to Borussia Dortmund for the time being.	0		kein, ohne
1890	0.001	"Uns ist allen ein riesiger Stein vom Herzen gefallen", sagte Schöpf, der daran mit seinem Kopfballtreffer keinen unwesentlichen Anteil hatte: "Dabei bin ich eigentlich der schlechteste Kopfballspieler in der Mannschafft".	We all felt a huge weight lifted off our shoulders, said Schöpf, whose scoring header played no insignificant part: "And I am actually the worst header on the team."	"We all fell a huge stone from our hearts," said Schöpf, who had no small part in this with his header goal: "I am actually the worst header player in the team."	0		kein, un-
394	0.004	Mit Regionalliga-Volleyball ist das nicht annähernd vergleichbar". In die vierte Liga wollen sie ihren Blick ohnehin nicht mehr nach unten richten.	It’s not even close with regional league volleyball.” They don't even want to look down towards the fourth league.	This is not nearly comparable to regional league volleyball. "In any case, they no longer want to look down into the fourth division.	0		nicht-ADJ, nicht mehr
283	0.008	Nachdem er deutlich alkoholisiert dem erteilten Platzverweis durch die Polizei nicht nachkam, musste er die Nacht bei der Polizeiinspektion Kulmbach in der Haftzelle verbringen.	After clearly under the influence of alcohol he did not comply with the police order to vacate the premises, he had to spend the night in the detention cell in the police station of Kulmbach.	After he was clearly drunk and did not comply with the court order issued by the police, he had to spend the night in the detention cell at the Kulmbach police inspectorate.	0		nicht-V
597	0.024	Wir haben den Test gewagt: Wie reagieren Frauen, man gleich in der ersten Nachricht nicht lange um den heißen Brei herumredet?	We made the test: How do women react, if you do not beat around the bush in the first message?	We took the test: How do women react if you don't spend a lot of time talking about it in the first message?	1	figurative expression, not a contradiction, but meaning doesn't match	nicht-ADV (fig.)
1626	0.026	Die Gesamtsituation stellt sich zwar längst nicht so dramatisch wie zur Endphase des gescheiterten Carlo Ancelotti Ende September 2017 dar, dennoch muss der Rekordmeister gewarnt sein.	The overall situation is not nearly as dramatic as the final phase of the failed Carlo Ancelotti at the end of September 2017, but the champions shall be aware.	Although the overall situation is nowhere near as dramatic as it was at the end of the failed Carlo Ancelotti era at the end of September 2017, the record signing still has to be warned.	0		nicht-ADJ
959	0.035	Auch beim FC Gütersloh reichte es nur zu einem 0:0-Unentschieden.	FC Gütersloh only didn’t get further than a 0-0 draw.	Even at FC Gütersloh it was only enough for a 0-0 draw.	1	slight error	lexical (reicht es nur)
1631	0.053	So unternahm Kovac vor dem zweiten Königsklassen-Auftritt dieser Saison nach dem 2:0 bei Benfica Lissabon auch keine außergewöhnlichen Maßnahmen.	So before the second premier class appearance in this season after the 2-0 over Benfica Lisbon, Kovac undertook no extraordinary measures.	Kovac did not take any extraordinary measures ahead of his second Premier League appearance of the season after the 2-0 defeat at Benfica Lisbon.	0	ref and system use different forms	kein
1438	0.061	Erstmals fand das Oktoberfest nämlich nicht bloß im Festzelt am Feuerwehrturm statt, sondern wurde vom Gewerbeverband am Sonntag auf die City ausgedehnt.	For the first time, the Oktoberfest was not just held in the marquee at the Feuerwehr tower, but on Sunday was extended into the city by the trade association.	For the first time, the Oktoberfest did not just take place in the marquee at the fire brigade tower, but was extended to the city by the trade association on Sunday.	0		nicht-PP
568	0.061	Umfragen: 46 Prozent wollen Merkel nicht bis 2021 als Kanzlerin	Survey: 46 percent do not want Merkel as Chancellor until 2021	Polls: 46 percent don't want Merkel as chancellor until 2021	0		nicht-V
1146	0.061	"Wir haben gar keinen Zugriff auf die bekommen". Mit die meinte er mutmaßlich die Flügelzange mit Colby McGill und Janis Kröger, wohl aber auch alle anderen Grün-Weißen, die mit kollektivem Offensivdrang auffielen.	We did not get any access to them. With ‘them’, he allegedly meant the wing players Colby McGill and Janis Kröger, but probably also all the other green and whites, who made themselves noticeable with their collective offensive urge.	"We didn't get access to them at all." By which he presumably meant the wing pliers with Colby McGill and Janis Kroeger, but probably also all the other green-whites who caught the eye with their collective offensive drive.	0		kein
1411	0.091	Die Absturzstelle liegt nur unweit eines Festzeltes auf dem Flughafengelände entfernt.	The crash site is not far from a marquee within airport premises.	The crash site is just a short distance from a marquee on the airport grounds.	0	ref and system use different forms	un-
1628	0.106	"Die, die den FC Bayern kennen, wissen, dass wir uns das nicht gefallen lassen und wir alles tun werden, damit wir wieder erfolgreich sind", betonte Kovac.	Those who know Bayern are aware that we will not put up with that and that we will do everything to become successful again, Kovac said.	"Those who know FC Bayern know that we will not put up with this and we will do everything we can to be successful again," stressed Kovac.	0		nicht-V
359	0.109	Die Gäste saßen nicht wie sonst im "Haus der Begegnung" in Sitzreihen, sondern gemütlich an Tischen.	Guests did not sit in rows as usual in the “House of Encounter,” but rather sat comfortably around tables.	The guests did not sit in rows of seats as usual in the "House of Encounter," but sat comfortably at tables.	0		nicht-V
1961	0.111	Gelsenkirchen - Nachdem Ronaldo Aparecido Rodrigues zum dritten Mal in Folge nicht in der Schalker Startelf, sondern auf der Auswechselbank gesessen hatte, wäre das Verständnis bei vielen Menschen groß gewesen, wenn sich der fast zwei Meter große Brasilianer mal so richtig den Frust von der Seele geredet hätte.	Gelsenkirchen - After Ronaldo Aparecido Rodrigues has not been in the Schalke starting line-up for the third time in a row, many people would have understood it if the almost two-meters-tall Brazilian player had got his frustration off his chest.	Gelsenkirchen - After Ronaldo Aparecido Rodrigues had not been in the Schalke starting line-up for the third time in a row, but had sat on the substitutes "bench, the understanding of many people would have been great if the almost two-metre tall Brazilian had let his frustration get the better of him.	0		nicht-PP
646	0.116	Jannis Schneider ließ sich das Geschenk nicht entgehen (79.).	Jannis Schneider was not ready to miss this opportunity (minute 79).	Jannis Schneider did not miss the gift (79.).	0	ref and system use different forms, figurative	nicht-V
1804	0.125	Viele sind auf umliegende Hügel gerannt, auf denen sie immer noch aus Angst vor einem weiteren Tsunami und Erdbeben ausharren und wo sie keinen Zugang zu Wasser und Essen haben.	Many ran to the surrounding hills, where they held out through fear of another tsunami and earthquake, and where there is no access to water and food.	Many have run to surrounding hills, where they are still holding out for fear of another tsunami and earthquake, and where they have no access to water or food.	0		kein
978	0.131	Erst in der 91. Minute hatte Cihan Yilmaz die letzte Chance, aber auch die brachte nichts ein.	Only in the 91st minute did Cihan Yilmaz have the last chance, but that did not get them anywhere.	It wasn't until the 91st minute that Cihan Yilmaz had his last chance, but even that came to nothing.	0	ref and system use different forms	nichts
1621	0.132	Die erste kleine Leistungsdelle unter dem neuen Coach Niko Kovac soll sich für die Münchner keinesfalls zum größeren herbstlichen Tief steigern.	Under no circumstances should the first small drop in power with the new coach Niko Kovaca should increase for Munich to the autumn minimum.	The first small dip in performance under new coach Niko Kovac should not be a major autumn low for the Munich-based side.	0	ref and system use different forms	keinesfalls
756	0.132	Der Diesel spielt dabei eigentlich keine große Rolle mehr.	The diesel does not really matter now.	The diesel doesn't really play a big role any more.	0	ref and system use different forms, figurative	kein
1812	0.162	Viele Leute suchen immer noch nach ihren Kindern, Nachbarn und anderen Menschen, von denen sie nicht wissen, ob sie leben und wo sie sich aufhalten, weil die Menschen während der Erdbeben nicht zu Hause, sondern zum Beispiel auf der Arbeit unterwegs waren.	Many people are still looking for their children, neighbors and other persons, not knowing if they are alive and where they are staying, because people were not at home during the earthquake and were on the way to work, for example.	Many people are still looking for their children, neighbours and other people who they do not know if they live or where they are, because people were not at home during the earthquakes, but at work, for example.	0		nicht-PP
601	0.166	So ist es der Urheberin dieser Annonce in einer uns unbekannten Aldi-Filiale durchaus zu wünschen, dass sie ihren Traummann, mit dem sie sich kurz über das "30 Prozent reduzierte Bio-Putenfleisch" unterhalten hat, auch finden wird.	So, we wish the creator of this ad in an unknown Aldi branch that she will also find the man of her dreams, with whom she had talked briefly about the "Organic turkey meat, 30 percent off".	So it is to be wished to the author of this advertisement in an Aldi store unknown to us that she will also find her dream man, with whom she talked briefly about the "30 percent reduced organic turkey meat."	0		un-
440	0.177	Keller habe stets versucht für Hans von Borsody "die einzig Richtige zu sein und er wollte meine Ängste, meine Schwächen nicht kennenlernen.	Keller always made effort for Hans von Borsody "and he did not want to discover my fears and my weaknesses.	Keller had always tried to be "the only right person for Hans von Borsody and he did not want to know my fears, my weaknesses.	0		nicht-V
1670	0.18	Darauf angesprochen, wollte der Mann keine Polizei vor Ort und ist anschließend davon gefahren.	When asked, the man did not want the police on the scene and then drove off.	Asked about it, the man did not want police on the scene and then drove away.	0		kein
367	0.184	"Es macht einfach Spaß, unter seiner Leitung zu singen", sagte Holstiege: "Er hat eine so leichte Art, es ist eine Meisterleistung, die er vollbringt". Übrigens präsentierten sich dieses Mal nicht nur Männer sängerisch.	It's just fun to sing under his direction, said Holstiege. "He has such an easy way, he accomplishes a masterpiece every time.". By the way, this time not only men were presented vocally.	"It's just fun to sing under his direction," Holstiege said: "He has such an easy manner, it's a feat he accomplishes." By the way, this time it wasn't just men who presented themselves as singers.	0	ref and system use different forms	nicht nur
349	0.184	Sie wollten sich partout nicht damit abfinden, dass es nach der Auflösung des Kirchenchors "Cäcilia" kein Sangesleben mehr im Stadtteil geben sollte.	In no case did they want to accept that after the dissolution of the church choir "Cäcilia" there would be no more singing life in the district.	They did not want to resign themselves to the fact that, after the dissolution of the church choir "Cecilia," there would no longer be a singing life in the district.	0	ref and system use different forms	nicht-V, kein
1821	0.194	Muskelverletzungen gegen Werder: VfB muss lange auf Aogo und Donis verzichten	Muscle injuries to Werder: VfB has to do without Aogo and Donis	Muscle injuries against Werder: VfB have to do without Aogo and Donis for a long time	0		lexical (verzichten)
1059	0.202	Einen zusätzlichen Personalabbau über die bereits bekannten Kürzungen in der Verwaltung hinaus soll es nicht geben.	There will be no further downsizing in addition to the reductions already known about.	There should be no additional staff cuts in addition to the cuts already known in the administration.	0		nicht-V
1719	0.208	Das neue Verfahren ändert nichts daran, dass Organe weiterhin nur mit ausdrücklicher Zustimmung entnommen werden dürfen, betont Swisstransplant.	Swisstransplant emphasizes that the new process will not change the way organs are only extracted with express consent.	The new procedure does not change the fact that organs may continue to be removed only with explicit consent, stresses Swisstransplant.	0		nicht-V
1707	0.208	Zuvor hatten sie ihre Lebenspartnerschaft seit 2001 eintragen lassen können, es gab aber keine Gleichstellung mit der Ehe, etwa beim Adoptionsrecht.	Before this they were able to register their civil partnership from 2001, but there was no equality in terms of marriage and the right to adopt.	Previously, they had been able to register their civil partnership since 2001, but there was no equality with marriage, such as the right to adopt.	0		kein
1699	0.208	Eine eingetragene Lebenspartnerschaft sei für sie nicht infrage gekommen, hatte Kahrs zuvor der "Bild"-Zeitung gesagt.	Kahrs previously told the “Bild” newspaper that a registered civil partnership was not for them.	A registered civil partnership was out of the question for her, Kahrs had previously told the Bild newspaper.	0	ref and system use different forms	nicht-V
1619	0.212	Das Prädikat unschlagbar ist dahin: Die Niederlage in Berlin will sich der FC Bayern "nicht gefallen lassen".	The title of unbeatable is gone: The defeat in Berlin will not allow the FC Bayern to give up.	The predicate of unbeatable is gone: the FC Bayern does not want to put up with the defeat in Berlin.	0	ref and system use different forms	nicht-V
977	0.212	Mehr als optische Überlegenheit dank eigener Initiative brachten die Ahlener nicht zustande.	The team from Ahlen did not achieve more than optical superiority thanks to their own initiative.	The Ahlens did not achieve more than visual superiority thanks to their own initiative.	0		nicht-V
1636	0.222	"Ich glaube nicht, dass das alles Pech ist, wir müssen es uns auch schon wieder erarbeiten, weil wir die Vielzahl an Chancen nicht machen und hinten die Fehler machen", betonte der 23-Jährige kurz vor der Abfahrt aus dem Olympiastadion.	I do not believe that this is all bad luck, we need to work it out again, because we do not go for most of the opportunities and make mistakes, said the 23-year-old shortly before leaving the Olympic stadium.	"I don't think it's all bad luck, we have to work it out again because we don't make the many chances and make the mistakes at the back," stressed the 23-year-old shortly before leaving the Olympic Stadium.	0		nicht-V
846	0.226	Diese ist bis heute nicht fertiggebaut, lediglich der Altarraum steht, das fehlende Langhaus wird durch die Bäume angedeutet.	The construction is not finished yet, only the sanctuary is, the missing nave is indicated by the trees.	This is not finished until today, only the sanctuary is standing, the missing nave is indicated by the trees.	1	"bis heute" causes the problems, but negation is involved	nicht-ADJ
899	0.226	Kaum ein Interview, kaum eine Rede, in der die Kanzlerin und ihre Minister aus CDU, SPD und auch aus der CSU zuletzt nicht die "Rückkehr zur Sacharbeit" mantraartig beschworen haben.	Hardly an interview, hardly a speech in which the Chancellor and her ministers from the CDU, SPD and also lastly from the CSU did not invoke the mantra "return to work".	Hardly an interview, hardly a speech in which the Chancellor and her ministers from the CDU, SPD and also from the CSU did not conjure up the mantra of a "return to business as usual."	0		nicht-V
869	0.239	Den Spagat zwischen einer barrierefreien und gleichzeitig feuersicheren Bauweise sei nicht immer einfach gewesen.	The balance between a barrier-free and fireproof design has not always been easy.	The balancing act between a barrier-free and at the same time fire-proof construction has not always been easy.	0		nicht-ADJ
962	0.241	Wer sich deshalb lieber ein Bier oder eine Bratwurst holen wollte, konnte dies unbesorgt tun.	Anyone who wanted to go get a beer or bratwurst could do it without worrying they would miss anything.	Those who therefore preferred to get a beer or a sausage, could do so without worry.	0		un-
1589	0.28	Zuvor hatten sie ihre Lebenspartnerschaft seit 2001 eintragen lassen können, es gab aber keine Gleichstellung mit der Ehe, etwa beim Adoptionsrecht.	Previously, they had been able to register their civil partnership since 2001, but there was no equality of status with marriage, for example concerning adoption laws.	Previously, they had been able to register their civil partnership since 2001, but there was no equality with marriage, such as the right to adopt.	0		kein
963	0.292	Es bestand nicht die Gefahr, eine Torchance zu verpassen, denn es gab praktisch keine.	There was no risk of missing a goal opportunity, because there were virtually none.	There was no danger of missing a scoring chance because there were virtually none.	0		nicht-V, kein
1354	0.311	Beobachter gehen davon aus, dass Bolsonaro aus dieser nicht erfolgreich hervorgehen wird - egal, gegen wen er antritt.	Experts assume that Bolsonaro will not be victorious - no matter who he is up against.	Observers assume that Bolsonaro will not emerge successfully from it - no matter who he runs against.	0		nicht-ADJ
1108	0.311	Der vom ehemaligen Bayer-Coach Carlo Ancelotti trainierte Tabellenzweite war gegen Turin zwar nicht chancenlos.	The second team in the table, coached by the former Bayer coach Carlo Ancelotti, was not without chances against Turin.	The second-placed side, coached by former Bayer coach Carlo Ancelotti, were not without a chance against Torino.	0		nicht-ADJ, -los
1717	0.314	Schweiz startet elektronisches Register für Organspender	Switzerland is starting an electronic register for organ donors	Switzerland launches electronic register for organ donors	0	no negation ???	n/a
1724	0.314	Das neue Verfahren ändert nichts daran, dass Organe weiterhin - wie in Deutschland - nur mit ausdrücklicher Zustimmung entnommen werden dürfen, betont Swisstransplant.	Swisstransplant emphasizes that the new process will not change the way organs are only extracted with express consent, as is the case in Germany.	The new procedure does not change the fact that organs may continue to be removed - as in Germany - only with explicit consent, stresses Swisstransplant.	0		nicht-V
619	0.318	Es gibt kein fixes Datum, wann wir das machen.	There is no fixed date when we will do so.	There's no fixed date when we're going to do that.	0		kein
685	0.341	Einzig RWE und Heidelberg Cement hätten signalisiert, weiterhin keine Selbstverpflichtung einzugehen, den Anteil von bislang "null Prozent" zu steigern.	Only RWE and Heidelberg Cement showed no commitment to increase the “zero percent” to date.	Only RWE and Heidelberg Cement had signalled that they would not continue to make a voluntary commitment to increase the share from "zero percent" to date.	0	ref and system use different forms	kein
1522	0.341	"Ich kann seinen Schritt nachvollziehen - da haben sich Leute geäußert, die gar nicht genau wussten, warum die Essener Tafel das macht".	I can understand his step - many people spoke up who did not even know exactly why the Essen Tafel does that.	"I can understand his move - there were people who didn't know exactly why the Essen Tafel was doing this."	0		nicht-V
1208	0.342	Eine geschlossene Tür ohne Partnerin dagegen bringe keinen Nutzen.	But that a closed door without a partner, on the other hand, offers no benefit.	A closed door without a partner, on the other hand, is of no use.	0		ohne, kein
1213	0.342	Doch die Vorsitzende Heidemarie Markenbeck ließ sich einen zusätzlichen Dank nicht nehmen.	But chairwoman Heidemarie Markenbeck refused to part without offering additional thanks.	But chairwoman Heidemarie Markenbeck did not let herself be deprived of an additional thanks.	0	ref and system use different forms	nicht-V
615	0.342	Für ihn persönlich ist das keine einfache Situation.	This is not an easy situation for him personally.	For him personally, this is not an easy situation.	0		kein
211	0.343	Dabei geht es nicht nur häufig laut zu, bei den Gelagen wird auch zerstört: Pfosten aus der Erde gerissen, Mülleimer demoliert, Schilder umgeknickt, Sitzmöbel beschmiert.	It is not just about the noise, there are also disturbances due to parties: Posts pulled out of the ground, garbage cans wrecked, signs snapped and seating daubed.	Not only is it often loud, the banquets also destroy: posts are torn out of the ground, rubbish bins are demolished, signs are bent over, seating furniture is smeared.	0	ref and system use different forms	nicht nur
289	0.353	Das regte niemanden auf.	This did not bother anybody.	No one was upset by that.	0	ref and system use different forms	niemand
6	0.353	Hvar - Flirten, kokettieren, verführen - keine einfachen Aufgaben für unsere Mädchen.	Hvar with its flirting, coquetting, and seduction is not an easy task for our girls.	Hvar - flirting, flirting, seducing - no easy tasks for our girls.	0	ref and system use different forms	kein
492	0.354	Schnell führten die Hausherren mit 8:1, auch die frühe Auszeit, die Bieletzki genommen hatte, fruchtete zunächst nicht.	Quickly, the home team led with 8-1, also the early break, that Bieletzki had taken, did not pan out.	The hosts quickly led 8-1, and even the early break Bieletzki had taken did not bear fruit at first.	0		nicht-V
873	0.366	Und weiter: "Das Grundstück in dieser Lage ist ein echter Glücksfall, weil es so in der heutigen Situation nicht mehr zu erwerben ist".	And also: ‘The property in this location is a real stroke of luck, because it no longer needs to be acquired in today’s situation’.	And further: "The property in this situation is a real stroke of luck, because it can no longer be acquired in this way in the current situation."	0	slightly off	nicht mehr
1727	0.367	In über 60 Prozent der Gespräche kennen die Angehörigen den Wunsch des Verstorbenen nicht.	In over 60 percent of conversations, relatives do not know the dead person’s intentions.	In more than 60 per cent of conversations, relatives do not know the wishes of the deceased.	0		nicht-V
1523	0.376	Sartor sei aber immer noch aktiv für die Essener Tafel - "sechs Tage die Woche, da ändert sich nichts dran", so Weilerswist.	But Sartor is still working for the Essener Tafel - “six days a week, nothing has changed about it,” says Weilerswist.	Sartor, however, is still active for the Essen Tafel - "six days a week, nothing changes," says Weilerswist.	0		nichts
604	0.379	Seit Beginn des neuen Schuljahres beteiligt sich die Ludgerischule an der Aktion "Deckel gegen Polio - 500 Deckel für ein Leben ohne Kinderlähmung".	Since the start of the new school year the Ludgerischule has been involved in the action ‘Caps against Polio - 500 caps for a life without polio’.	Since the beginning of the new school year, the Ludgeri School has been participating in the campaign "Caps against Polio - 500 Caps for a Life Without Polio."	0		ohne
603	0.379	Billerbeck: 500 Deckel für ein Leben ohne Lähmung	Billerbeck: 500 caps for a life without polio	Billerbeck: 500 lids for a life without paralysis	0		ohne
1548	0.382	In Wolfsburg erlebte Michael Lang kein vollends geglücktes, aber auch kein misslungenes Debüt für Borussia Mönchengladbach.	Michael Lang playing in Wolfsburg, did not experience a completely successful, but neither a failed debut for Borussia Mönchengladbach.	In Wolfsburg, Michael Lang did not experience a completely successful, but also not a failed debut for Borussia Mönchengladbach.	0		kein
613	0.383	Und das tut uns nicht gut", sagte der mit Götze befreundete Reus nach dem 4:2-Sieg in Leverkusen beim TV-Sender Sky.	And it also does not do us any good, said Reuss, Götze’s friend, after the 4-2 victory in Leverkusen in an interview with the TV channel Sky.	And that is not good for us, "Reus, who is a friend of Götze, told the TV channel Sky after the 4-2 win in Leverkusen.	0		nicht-ADV
1811	0.386	Im Moment haben wir Handyempfang, vorher hat das allerdings nicht funktioniert und wir haben Informationen nur übers Radio bekommen.	At the moment we have mobile reception, which did not work previously and we have been receiving information via radio.	At the moment we have mobile phone reception, but before that it did not work and we only got information over the radio.	0		nicht-V
1250	0.389	Wir konnten den Aufschlagdruck nicht halten.	We could not hold the pressure.	We couldn't hold the serve pressure.	0		nicht-V
304	0.4	Heidrich: "Es ist bedauerlich, dass man nicht eine bessere Nutzung des Standortes, auch in puncto Güterverkehr, ins Auge gefasst hat".	Heidrich: ‘It’s a shame that better use of the location is not envisaged, also with regard to freight traffic’.	Heidrich: "It is regrettable that a better use of the site has not been envisaged, including in terms of freight transport."	0		nicht-V
800	0.401	Noch konnten sich wohl nicht viele der Kinder vorstellen, wie daraus einmal ein schmackhaftes Getränk werden sollte.	Not many of the children could imagine how a tasty drink was to be made from it.	Not many of the children could yet imagine how it would one day become a tasty drink.	0		nicht viele
552	0.41	Leroy Sané bereitete das 1:0 vor, Ilkay Gündogan kam beim neuen Spitzenreiter nicht zum Einsatz.	Leroy Sané prepared the 1:0, Ilkay Gündogan as a new attacking player was not used.	Leroy Sané made it 1-0 and Ilkay Gündogan did not feature for the new leaders.	0	ref and system use different forms	nicht-PP
476	0.411	Da dürfte sein Hauptdarsteller nicht weit sein.	Its main character will not be far away.	His lead actor is unlikely to be far behind.	0	ref and system use different forms	nicht-ADV
454	0.411	Unser Falter ist keine Motte, aber doch ein wenig lichtscheu.	Not really a moth, just a little shady.	Our moth is not a moth, but it is a little shy of light.	0	ref and system use different forms	kein
1525	0.411	Man dürfe nicht den Ansatz verfolgen, "ohne uns verhungern die Menschen in der Stadt".	One should not think, "that without us, people in the city would be starving."	One should not take the approach that "without us, the people in the city are starving."	0		nicht-V
982	0.413	Ich hatte jedenfalls nicht das Gefühl, dass wir ein Gegentor kriegen könnten", so Daut.	At any rate, I did not feel that we could concede a goal," said Daut.	In any case, I didn't feel we could get a goal against them, "Daut said.	1	contradiction, but error is in reference translation!	nicht-V
980	0.413	"Wir waren diesmal nicht so torgefährlich wie noch gegen Holzwickede und das obwohl unser Gegner keine Lust hatte, hier mitzuspielen", konstatierte RW Ahlens Interimstrainer.	We were not as dangerous against goal in this match as against Holzwickede, even though our opponents did not want to play here, states RW Ahlen’s interim coach.	"We were not as dangerous this time as we were against Holzwickede, even though our opponent had no desire to play here," stated RW Ahlen's interim coach.	0	ref and system use different forms	nicht-ADJ, kein
1675	0.415	Der 75-Jährige machte einen wirren Eindruck und konnte sich an vieles nicht mehr entsinnen.	The 75-year-old made a confusing impression and could not recall much.	The 75-year-old made a confused impression and could not remember many things.	0		nicht mehr
523	0.419	Zusätzlich sollten Sicherheitsupdates, etwa für Windows, zügig installiert werden, auch schadet es nicht, Rechner mit einem Antivirenschutz auszurüsten.	In addition, security updates, such as those for Windows, should be quickly installed and there is no harm in equipping computers with anti-virus protection.	In addition, security updates, for example for Windows, should be installed quickly, and it does no harm to equip computers with anti-virus protection.	0		nicht-V
1731	0.42	"Ein Register, in dem Menschen ihre Wünsche - pro oder kontra Organspende - eintragen können, gibt es nicht", sagt sie.	There is no register where people can record their wishes, for or against organ donation, she says.	"There is no register where people can register their wishes - for or against organ donation," she says.	0		nicht-V
1207	0.425	Da hatte Teubner ein Paradoxon ins Spiel gebracht: Die Zufriedenheit beim Manne komme, wenn er zwar eine Partnerin habe, diese aber die Tür nicht aufmache.	Teubner had introduced a paradox: She mused that a man is happy when he has a partner but does not hold the door open for her.	Teubner had brought a paradox into play: the satisfaction in a man comes when he has a partner, but she does not open the door.	1	contradiction, mostly to do with pronouns	nicht-V
983	0.434	Zu seinem Leidwesen hatte man als Zuschauer allerdings auch nicht das Gefühl, als könnte sein Team ein Tor schießen.	To his chagrin, however, the viewer did not feel like his team could score a goal, either.	Unfortunately for him, as a spectator, you did not feel as if his team could score a goal.	0		nicht-V
811	0.435	Dann allerdings, so betonte Gregor Krützkamp, wird nicht das Heimathaus im Herzen des Spargeldorfs der Ort des Geschehens sein.	Then, however, emphasized Gregor Krützkamp, the community center in the heart of the asparagus village will not be the site of the action.	In that case, however, Gregor Krützkamp stressed, the home in the heart of the asparagus village will not be the place of action.	0		nicht-V
473	0.447	Den Preis für den besten Drink erhält dieser Mix, mit dem ein Kapselhersteller sich präsentiert, nicht zwingend.	The mixture getting the prize for the best drink, presented by a capsule manufacturer - not compulsory.	This mix, with which a capsule manufacturer presents itself, does not necessarily win the prize for the best drink.	0	I think they have the same meaning ??	nicht-ADV
1297	0.448	Doch damit ist das Spektrum bei weitem nicht erschöpft.	But by far that is not the end of the scope.	But that is far from the end of the spectrum.	0	ref and system use different forms	lexical
1310	0.448	Deshalb gebe es für die Gartenbauvereine den Ansporn, nicht nachzulassen, damit unsere Heimat schön und lebenswert bleibe.	There is an incentive therefore for the gardening associations not to give up, so that our country remains beautiful and worth living.	That is why there is an incentive for the horticultural associations not to let up, so that our home remains beautiful and worth living in.	0		nicht-V
189	0.451	Regel zwei: trinkt nie die schwarze Sau.	Rule two: Never drink "die schwarze Sau".	Rule two: never drink the black sow.	0		nie
1145	0.453	"Da weiß ich gar nicht, was ich davon halten soll", rang er nach Worten.	I do not know what to think of that, he struggled for words.	"I don't know what to make of it," he said.	0		nicht-V
1190	0.463	"Die Rente ist eben nicht sicher!" steht in einem Tagungstitel.	The pension is not even safe! says a conference title.	"The pension is just not safe!" reads a conference title.	0		nicht-ADJ
1192	0.463	"Und zu einer Tagung über Syrien: "Barbarei ohne Limit".	And a conference about Syria: Barbarism without limit’.	"And to a meeting on Syria:" Barbarism without limit. "	0		ohne
1199	0.463	"Wir sind ja zu 100 Prozent eine Tochter der Evangelischen Landeskirche", sagte Studienleiterin Dr. Ulrike Haerendel, "also sind wir nicht zu 100 Prozent neutral".	We are 100 percent a subsidiary of the evangelical national church, said Director of Studies, Dr. Ulrike Haerendel, ‘but we are not 100 percent neutral’.	"We are 100 percent a subsidiary of the Evangelical Church," said study leader Dr. Ulrike Haerendel, "so we are not 100 percent neutral."	0		nicht-V
1131	0.466	Grade mal zwei Torchancen in 90 Minuten, damit lassen sich nur selten Spiele positiv gestalten.	Just two scoring chances in 90 minutes. Not a good chance for a positive outcome.	There are only two scoring chances in 90 minutes, so it is rare for games to be positive.	0		lexical (nur selten)
1929	0.47	Der Soziologie Professor drängt seine Meinung nicht auf, betont, dass er von dem Durchschnitt spricht, nicht von einzelnen Schicksalen.	The sociology professor does not force his opinion onto the audience, emphasizing that he speaks of the average, not of individual destinies.	The sociology professor does not impose his opinion, stresses that he is talking about the average, not about individual fates.	0		nicht-V
1924	0.47	Entscheidend sei deshalb nicht, ob man sich politisch rechts oder links einordnet, sondern: "Bin ich für oder gegen eine offene Gesellschaft?", betont er.	Therefore, it is not of importance whether one is politically right or left, but: "Am I for or against an open society?" he emphasizes.	The decisive factor is therefore not whether one classifies oneself politically to the right or to the left, but: "Am I for or against an open society?," he stresses.	0	ref and system use different forms	nicht-V
1928	0.47	El-Mafaalani steht vor, nicht auf der Bühne, ein Sinnbild für die Diskussion: Sie ist auf Augenhöhe.	El-Mafaalani stands in front of the stage, not on it, symbolizing the discussion: It is a discussion at eye level.	El-Mafaalani is standing in front, not on stage, a symbol of the discussion: she is on an equal footing.	0		nicht-PP
235	0.479	Das haben wir in anderen Stadtteilen noch nicht erlebt.	We have not seen something like this in other districts.	We haven't seen that in other parts of the city.	0		nicht-V
1582	0.493	Eine eingetragene Lebenspartnerschaft sei für sie nicht infrage gekommen, hatte Kahrs zuvor der "Bild"-Zeitung gesagt.	Kahrs previously told the ‘Bild’ newspaper that a registered civil partnership was not for them.	A registered civil partnership was out of the question for her, Kahrs had previously told the Bild newspaper.	0		nicht-V
1435	0.494	Aber dann würden da draußen nicht 10.000 Menschen in diese prall gefüllte Arena drängen, sondern wir hätten nur 200 Leute draußen stehen.	But 10,000 people outside would not be surging into this packed arena, we would only have 200 people standing outside.	But then there wouldn't be 10,000 people out there cramming into this packed arena, we'd only have 200 people standing outside.	0		nicht-NP
